Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,61.86031621470855,18.38638524492989,4.795982090904074,7.999999999999996e-2,8.980532373758845e-4,"cx0_1: 1.039e-2"
Q1,74.6714493313183,116.86600864886597,4.940055304294594,1.4000000000000012e-2,1.0860900025811136e-3,"cx1_0: 1.039e-2, cx1_2: 7.036e-3, cx1_3: 1.215e-2"
Q2,90.68829918650795,109.54172457481836,4.833247232000926,7.000000000000006e-3,8.945417154422642e-4,"cx2_1: 7.036e-3"
Q3,81.78834288973192,93.89008845672764,4.80798194196564,1.8000000000000016e-2,1.1938100185324748e-3,"cx3_1: 1.215e-2, cx3_4: 8.491e-3"
Q4,72.97711688826193,48.36901872911259,4.7498953908839745,1.3000000000000012e-2,1.6916672306782929e-3,"cx4_3: 8.491e-3"
